District,Village,Year,BNursery,BPrimary,BSecondary,BTertiary,GNursery,GPrimary,GSecondary,GTertiary,Goats,Cows,Ag Biz,Other Biz,Homes with Iron Sheets,# of Motorcycles,# of TVs,# of People,# of HH,Biz Score,LIfestyle Score,Waterborne Illness,Edu Score,Ag Score,Livestock Score,Score,Treated,Time Treated
Phalombe,Maluwa,2014,0,54,5,1,0,64,6,0,120,45,22,12,24,7,3,3478,1120,34,34,121,130,998,165,12,1,0
Phalombe,Maluwa,2015,20,63,7,3,25,72,8,0,140,112,31,18,31,8,5,3478,1120,49,44,71,198,701,252,15,1,0
Phalombe,Maluwa,2016,27,71,9,3,76,84,11,0,98,41,45,26,45,11,7,3478,1120,71,63,61,281,540,139,14,1,1
Phalombe,Mwanga,2014,18,126,4,1,24,148,5,1,17,1,23,14,10,6,4,1756,202,37,20,131,327,420,18,12,1,0
Phalombe,Mwanga,2015,8,167,2,1,26,158,7,0,10,0,17,18,11,1,4,1756,202,35,16,121,369,280,10,12,1,1
Phalombe,Mwanga,2016,10,176,5,1,29,164,10,1,4,0,28,25,51,7,6,1756,202,53,64,79,396,142,4,16,1,1
Chiradzulu,Mwenye,2014,3,26,8,1,4,30,4,1,11,0,10,2,34,0,0,730,152,12,34,169,77,420,11,6,0,0
Chiradzulu,Mwenye,2015,2,25,4,0,15,32,3,0,15,0,5,5,8,1,2,730,152,10,11,143,81,340,15,4,0,0
Chiradzulu,Mwenye,2016,5,14,6,1,8,28,5,0,0,0,5,5,3,1,0,730,152,10,4,151,67,180,0,-5,0,0
Mulanje,Manyumba ,2014,20,60,6,0,31,73,13,0,23,3,6,9,140,1,3,2023,532,15,144,51,203,1110,26,23,1,0
Mulanje,Manyumba ,2015,14,70,3,0,28,84,10,0,11,2,3,11,110,2,3,2023,532,14,115,31,209,710,13,18,1,0
Mulanje,Manyumba ,2016,20,90,3,1,31,112,10,0,9,2,4,13,121,33,4,2023,532,17,158,41,267,514,11,19,1,1
Mulanje,Namphungo,2014,30,225,119,0,55,240,111,0,25,5,9,30,51,4,3,2620,1135,39,58,115,780,2330,30,34,1,0
Mulanje,Namphungo,2015,37,285,125,1,60,335,200,0,20,8,10,35,62,7,5,2620,1135,45,74,76,1043,2000,28,38,1,1
Mulanje,Namphungo,2016,50,367,170,2,70,463,230,1,15,10,12,42,79,9,8,2620,1135,54,96,79,1353,1200,25,39,1,1
Chiradzulu,Likoswe,2014,6,35,7,0,4,33,9,0,8,2,6,4,10,1,4,1531,177,10,15,215,94,841,10,5,1,0
Chiradzulu,Likoswe,2015,8,41,7,1,7,31,5,1,9,1,11,14,14,0,1,1531,177,25,15,94,101,318,10,6,1,1
